bench,name,seed,cond,delta,target,gain,acc_gain,joint_harm,apply,flip_harm,flip_help
drugban,bindingdb_random,s1,scaffold_prot50,0.02,cross_mask,0.10264237090754791,0.1161585365853659,0.13963414634146343,0.4847560975609756,0.0649390243902439,0.18109756097560975
drugban,bindingdb_random,s1,scaffold_prot50,0.05,cross_mask,0.1080168419106059,0.1161585365853659,0.1730691056910569,0.5727642276422764,0.0649390243902439,0.18109756097560975
drugban,bindingdb_random,s1,scaffold_prot50,0.1,cross_mask,0.11095713517750272,0.1161585365853659,0.17591463414634145,0.6106707317073171,0.0649390243902439,0.18109756097560975
drugban,bindingdb_random,s1,scaffold_prot50,0.2,cross_mask,0.11638737296879054,0.1161585365853659,0.1730691056910569,0.6798780487804879,0.0649390243902439,0.18109756097560975
drugban,bindingdb_random,s2,prot25,0.0,hard,0.13562906469645586,0.18414634146341458,0.14176829268292682,0.6830284552845528,0.057926829268292686,0.2420731707317073
drugban,bindingdb_random,s2,prot25,0.02,hard,0.1357667788643362,0.18414634146341458,0.13465447154471544,0.6838414634146341,0.05813008130081301,0.24227642276422764
drugban,bindingdb_random,s2,prot25,0.05,hard,0.13673739768497162,0.18485772357723573,0.12947154471544717,0.6951219512195121,0.060060975609756095,0.24491869918699186
drugban,bindingdb_random,s2,prot25,0.1,hard,0.13855252150171526,0.18485772357723573,0.133130081300813,0.7585365853658537,0.06554878048780488,0.25040650406504067
drugban,bindingdb_random,s2,prot25,0.2,hard,0.141213278421352,0.18394308943089432,0.13241869918699187,0.8530487804878049,0.0709349593495935,0.2548780487804878
drugban,bindingdb_random,s2,scaffold_prot50,0.0,hard,0.12111984478612892,0.1367886178861789,0.1415650406504065,0.5451219512195122,0.061585365853658536,0.1983739837398374
drugban,bindingdb_random,s2,scaffold_prot50,0.02,hard,0.12589486538578443,0.13699186991869927,0.15823170731707317,0.5966463414634147,0.06260162601626017,0.19959349593495934
drugban,bindingdb_random,s2,scaffold_prot50,0.05,hard,0.1258223259910184,0.13699186991869927,0.1521341463414634,0.5971544715447155,0.06260162601626017,0.19959349593495934
drugban,bindingdb_random,s2,scaffold_prot50,0.1,hard,0.12615939578430324,0.13699186991869927,0.1445121951219512,0.6063008130081301,0.06260162601626017,0.19959349593495934
drugban,bindingdb_random,s2,scaffold_prot50,0.2,hard,0.1415577766913897,0.13699186991869927,0.15467479674796747,0.978150406504065,0.06260162601626017,0.19959349593495934
