family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
drugban,bindingdb_random_s42_pool-source,prot25,hard,0,0.15,0.05,0.825,0.704878,0.325711,0.039126,0.120125,0.070833,0.131111,0.072256,0.257176,0.539533,0.752337,0.556784,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,cross_mask,0,0.15,0.05,0.825,0.704878,0.31748,0.037602,0.118438,0.067988,0.124132,0.06626,0.257565,0.54187,0.753354,0.564873,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,hard,0,0.2,0.05,0.825,0.704878,0.372764,0.060976,0.163577,0.073984,0.147869,0.072256,0.257176,0.539533,0.752337,0.517312,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,cross_mask,0,0.2,0.05,0.825,0.704878,0.369207,0.0625,0.169282,0.070122,0.142084,0.06626,0.257565,0.54187,0.753354,0.520592,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,hard,0,0.3,0.05,0.825,0.704878,0.335163,0.043496,0.129776,0.071138,0.134388,0.072256,0.257176,0.539533,0.752337,0.45137,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,cross_mask,0,0.3,0.05,0.825,0.704878,0.336179,0.046341,0.137848,0.069207,0.130278,0.06626,0.257565,0.54187,0.753354,0.451361,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,hard,0,0.4,0.05,0.825,0.704878,0.279472,0.020224,0.072364,0.063313,0.114066,0.072256,0.257176,0.539533,0.752337,0.396532,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,cross_mask,0,0.4,0.05,0.825,0.704878,0.27622,0.020732,0.075055,0.0625,0.10996,0.06626,0.257565,0.54187,0.753354,0.391358,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,hard,0,0.5,0.05,0.825,0.704878,0.239329,0.009756,0.040764,0.05061,0.093517,0.072256,0.257176,0.539533,0.752337,0.344898,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,cross_mask,0,0.5,0.05,0.825,0.704878,0.234146,0.009045,0.038628,0.05,0.089023,0.06626,0.257565,0.54187,0.753354,0.337026,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,hard,0,0.05,0.05,0.65,0.779167,0.246443,0.005081,0.020619,0.00752,0.010714,0.05874,0.320494,0.551118,0.817276,0.753172,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,cross_mask,0,0.05,0.05,0.65,0.779167,0.253049,0.003049,0.012048,0.007317,0.016867,0.055081,0.32054,0.542073,0.817073,0.762739,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,hard,0,0.1,0.05,0.65,0.779167,0.284858,0.009756,0.034249,0.029167,0.040579,0.05874,0.320494,0.551118,0.817276,0.627347,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,cross_mask,0,0.1,0.05,0.65,0.779167,0.286992,0.00813,0.028329,0.02378,0.040038,0.055081,0.32054,0.542073,0.817073,0.635176,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,hard,0,0.15,0.05,0.65,0.779167,0.333333,0.02185,0.065549,0.051829,0.100455,0.05874,0.320494,0.551118,0.817276,0.539249,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,cross_mask,0,0.15,0.05,0.65,0.779167,0.333028,0.019411,0.058285,0.045833,0.096423,0.055081,0.32054,0.542073,0.817073,0.5409,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,hard,0,0.2,0.05,0.65,0.779167,0.331301,0.021545,0.065031,0.050407,0.097625,0.05874,0.320494,0.551118,0.817276,0.459082,2460,9840,True
drugban,bindingdb_random_s42_pool-source,scaffold,cross_mask,0,0.2,0.05,0.65,0.779167,0.335569,0.019919,0.059358,0.047358,0.09743,0.055081,0.32054,0.542073,0.817073,0.463973,2460,9840,True
