family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
dcl,dcl_condition_specialist,no_shoes,hard,2,0.2,0.25,0.9,0.591623,0.677636,0.056844,0.083885,0.183994,1.108332,0.206432,1.463004,0.261032,0.797307,0.57636,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,2,0.2,0.5,0.9,0.591623,0.827973,0.056096,0.067751,0.183246,1.165535,0.206432,1.463004,0.140613,0.797307,0.57636,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,2,0.2,0.0,0.975,0.609574,0.492895,0.062079,0.125948,0.180254,0.934242,0.188482,1.320562,0.462229,0.797307,0.590396,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,2,0.2,0.01,0.975,0.609574,0.495138,0.062079,0.125378,0.180254,0.934232,0.188482,1.320562,0.459985,0.797307,0.590396,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,2,0.2,0.05,0.975,0.609574,0.557966,0.062827,0.112601,0.180254,0.93633,0.188482,1.320562,0.399402,0.797307,0.590396,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,2,0.2,0.1,0.975,0.609574,0.602842,0.062079,0.102978,0.182498,0.952606,0.188482,1.320562,0.359761,0.797307,0.590396,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,2,0.2,0.25,0.975,0.609574,0.727001,0.061331,0.084362,0.18175,0.992923,0.188482,1.320562,0.249065,0.797307,0.590396,1336,1337,True
dcl,dcl_full_masked,no_shoes,hard,2,0.2,0.5,0.975,0.609574,0.866866,0.059088,0.068162,0.183994,1.074776,0.188482,1.320562,0.132386,0.797307,0.590396,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,2,0.2,0.0,0.925,0.537023,0.490651,0.07255,0.147866,0.251309,2.275515,0.234854,2.549967,0.486163,0.761406,0.610831,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,2,0.2,0.01,0.925,0.537023,0.491399,0.07255,0.147641,0.251309,2.275512,0.234854,2.549967,0.485415,0.761406,0.610831,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,2,0.2,0.05,0.925,0.537023,0.5273,0.07255,0.137589,0.251309,2.278662,0.234854,2.549967,0.45101,0.761406,0.610831,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,2,0.2,0.1,0.925,0.537023,0.572177,0.07255,0.126797,0.252057,2.284604,0.234854,2.549967,0.409125,0.761406,0.610831,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,2,0.2,0.25,0.925,0.537023,0.679132,0.07255,0.106828,0.251309,2.285802,0.234854,2.549967,0.308153,0.761406,0.610831,1336,1337,True
dcl,dcl_condition_specialist,no_imu_family,hard,2,0.2,0.5,0.925,0.537023,0.845924,0.071055,0.083996,0.250561,2.37462,0.234854,2.549967,0.171279,0.761406,0.610831,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,2,0.2,0.0,0.975,0.222887,0.836948,0.035153,0.042002,0.537023,2.633959,0.540015,2.746251,0.148841,0.761406,0.609747,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,2,0.2,0.01,0.975,0.222887,0.838444,0.035153,0.041927,0.537023,2.637266,0.540015,2.746251,0.148093,0.761406,0.609747,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,2,0.2,0.05,0.975,0.222887,0.84742,0.032909,0.038835,0.537023,2.643029,0.540015,2.746251,0.139117,0.761406,0.609747,1336,1337,True
dcl,dcl_full_masked,no_imu_family,hard,2,0.2,0.1,0.975,0.222887,0.854899,0.032909,0.038495,0.537023,2.642424,0.540015,2.746251,0.131638,0.761406,0.609747,1336,1337,True
