dataset,condition,is_null,seed,measure,certify,beta,base_acc,d_acc,loss_gain,apply_rate,joint_harm,cond_harm
food101,textmiss,1,1,on,on,0.3,0.620117,0.0,0.004462,0.167643,0.004658,0.027785
food101,textmiss,1,1,on,off,0.3,0.620117,0.007564,0.368212,1.0,0.563621,0.563621
food101,textmiss,1,1,off,on,1.0,0.620117,0.002906,-0.191112,0.107919,0.018079,0.167521
food101,textmiss,1,1,off,off,1.0,0.620117,-0.028548,-1.485392,1.0,0.681087,0.681087
food101,textmiss,1,2,on,on,0.325,0.620117,0.0,0.003337,0.153346,0.004243,0.027669
food101,textmiss,1,2,on,off,0.325,0.620117,0.008624,0.368981,1.0,0.578933,0.578933
food101,textmiss,1,2,off,on,1.0,0.620117,0.002906,-0.191112,0.107919,0.018079,0.167521
food101,textmiss,1,2,off,off,1.0,0.620117,-0.028548,-1.485392,1.0,0.681087,0.681087
food101,imgmiss,1,0,on,on,0.175,0.825347,0.0,0.008887,0.771342,0.010607,0.013752
food101,imgmiss,1,0,on,off,0.175,0.825347,0.001107,0.068706,1.0,0.157635,0.157635
food101,imgmiss,1,0,off,on,1.0,0.825347,-0.005211,-0.351482,0.736752,0.036342,0.049327
food101,imgmiss,1,0,off,off,1.0,0.825347,-0.012913,-1.559988,1.0,0.239635,0.239635
food101,imgmiss,1,1,on,on,0.2,0.825347,0.0,0.010473,0.777798,0.013651,0.017551
food101,imgmiss,1,1,on,off,0.2,0.825347,0.001153,0.069689,1.0,0.161647,0.161647
food101,imgmiss,1,1,off,on,1.0,0.825347,-0.005673,-0.476966,0.751049,0.045381,0.060424
food101,imgmiss,1,1,off,off,1.0,0.825347,-0.012913,-1.559988,1.0,0.239635,0.239635
food101,imgmiss,1,2,on,on,0.175,0.825347,0.0,0.010178,0.780012,0.013236,0.016969
food101,imgmiss,1,2,on,off,0.175,0.825347,0.001107,0.068706,1.0,0.157635,0.157635
food101,imgmiss,1,2,off,on,1.0,0.825347,-0.005857,-0.504128,0.752986,0.046811,0.062167
food101,imgmiss,1,2,off,off,1.0,0.825347,-0.012913,-1.559988,1.0,0.239635,0.239635
