condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,notes,seed,design,protocol,base_acc,base_wf1,blanket_acc,blanket_wf1,gated_acc,gated_wf1
no_imu_family,hard,0.9,0.537023186237846,0.22288706058339558,0.23635003739715776,4.27143088538912,3.0164531098692016,3.7115962327740326,0.47270007479431564,0.7531787584143605,0.3834006272818325,0.012954448839523977,0.48915482423335827,0.07928197456993269,0.1620795107033639,0.5859995193300783,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.537023186237846,0.46060145851341905,0.7599102468212415,0.754381313229655,0.7733732236350037,0.768745566687458
no_imu_family,cross_mask,1.0,0.537023186237846,0.04263275991024684,0.026925953627524257,4.27143088538912,0.2134555056368663,2.971088791951611,0.387434554973822,0.5796559461480928,0.3834006272818325,0.012954448839523977,0.21540762902019447,0.008975317875841436,0.041666666666666664,0.8763683998945383,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.537023186237846,0.46060145851341905,0.5796559461480928,0.517286792509744,0.5639491398653702,0.49321716297603224
severe_three_sensors,hard,1.0,0.6544502617801047,0.13313388182498131,0.12864622288706062,2.5775332750575863,1.489731374449221,1.9836005368291325,0.5026178010471204,0.787584143605086,0.2514819437857899,0.011286777855729796,0.46970830216903514,0.07180254300673149,0.15286624203821655,0.56,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.6544502617801047,0.6517262680314289,0.787584143605086,0.7869042748058181,0.7830964846671653,0.7834926597239504
severe_three_sensors,cross_mask,0.675,0.6544502617801047,0.008975317875841493,0.002243829468960401,2.5775332750575863,0.06541081988335146,1.2816170994897966,0.47344801795063574,0.5766641735228123,0.2514819437857899,0.011286777855729796,0.24308152580403888,0.011967090501121914,0.04923076923076923,0.7553156277477052,1336,1336,1336,1337,0.2,0.05,50,True,[],0,condition_specialist,deployment,0.6544502617801047,0.6517262680314289,0.6634255796559462,0.6379591319212345,0.6566940912490651,0.6527640177992873
severe_three_sensors,hard,1.0,0.450261780104712,0.3365744203440539,0.337322363500374,6.284346346423099,4.927287717356791,5.7011748347867295,0.35527299925205685,0.7868362004487659,0.4753098514632502,0.01341376176162298,0.6148092744951383,0.059087509349289455,0.09610705596107055,0.54,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.450261780104712,0.31862114264081043,0.7868362004487659,0.7841534298984447,0.787584143605086,0.7836008495162827
severe_three_sensors,cross_mask,1.0,0.450261780104712,0.14958863126402394,0.06432311144353037,6.284346346423099,0.838716589622138,4.711748489274962,0.30142109199700823,0.599850411368736,0.4753098514632502,0.01341376176162298,0.2393418100224383,0.0014958863126402393,0.00625,0.8884858102189295,1336,1336,1336,1337,0.2,0.05,50,True,[],0,full_masked,deployment,0.450261780104712,0.31862114264081043,0.599850411368736,0.5578051544571122,0.5145848915482424,0.4285178143349186
low_cost_accels_only,hard,0.875,0.474943904263276,0.27748691099476436,0.2707554225878834,3.1754309911486724,1.9894246218760456,2.5886227440545935,0.35976065818997754,0.7524308152580403,0.38385757128225734,0.01216973058204194,0.5474943904263276,0.059087509349289455,0.10792349726775956,0.6125786770045936,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.474943904263276,0.47053548661123157,0.7524308152580403,0.7515435097833049,0.7456993268511594,0.7445811151652604
low_cost_accels_only,cross_mask,1.0,0.474943904263276,0.06133133881824987,0.09947643979057591,3.1754309911486724,0.88902754842943,1.832921494232475,0.4495138369483919,0.5362752430815259,0.38385757128225734,0.01216973058204194,0.3395661929693343,0.05609573672400898,0.16519823788546256,0.873269841196708,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.474943904263276,0.47053548661123157,0.5362752430815259,0.4921134618381524,0.5744203440538519,0.5850106544555043
low_cost_accels_only,hard,1.0,0.38668661181750186,0.3724756918474196,0.344053851907255,4.178279615021946,2.5800551882468796,3.529808200028022,0.268511593118923,0.7591623036649214,0.4700902298213237,0.012453132361816005,0.6245325355272999,0.04113687359760658,0.0658682634730539,0.62,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.38668661181750186,0.38156404145716183,0.7591623036649214,0.7583771514243987,0.7307404637247569,0.7272470205751057
low_cost_accels_only,cross_mask,1.0,0.38668661181750186,0.1413612565445026,0.1338818249813014,4.178279615021946,1.1871483129888354,2.789895710495131,0.39640987284966345,0.5280478683620045,0.4700902298213237,0.012453132361816005,0.4031413612565445,0.08376963350785341,0.2077922077922078,0.8670231286257531,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.38668661181750186,0.38156404145716183,0.5280478683620045,0.48942404801561323,0.5205684367988033,0.5374677441851221
